date,cpi
2022-01-01,102.08
2022-02-01,102.6
2022-03-01,102.72
2022-04-01,103.1
2022-05-01,103.21
2022-06-01,103.38
2022-07-01,103.8
2022-08-01,103.99
2022-09-01,104.28
2022-10-01,104.49
2022-11-01,104.86
2022-12-01,104.96
2023-01-01,105.91
2023-02-01,105.59
2023-03-01,105.64
2023-04-01,106.15
2023-05-01,106.27
2023-06-01,106.49
2023-07-01,106.7
2023-08-01,106.93
2023-09-01,107.35
2023-10-01,107.67
2023-11-01,107.69
2023-12-01,107.93
2024-01-01,108.9
2024-02-01,108.58
2024-03-01,108.9
2024-04-01,109.03
2024-05-01,109.17
2024-06-01,109.58
2024-07-01,109.85
2024-08-01,110.0
2024-09-01,110.25
2024-10-01,110.51
2024-11-01,110.88
2024-12-01,110.87
2025-01-01,111.12
2025-02-01,111.63
2025-03-01,111.64
2025-04-01,112.13
2025-05-01,112.36
2025-06-01,112.55
2025-07-01,112.84
2025-08-01,112.87
